store_name,website,city,state,store_type,product_fit,current_email,contact_page,contact_form_url,manual_found_email,manual_email_source_url,manual_decision,recommended_action,notes
Christys Toy Outlet,https://christystoyoutlet.us/,El Cajon,CA,toy store,both,,,,,,,verify_email_on_site,"No email or phone on main page. Physical store at 608 N Johnson Ave, El Cajon CA. | GUESSED:  not on"
Circle of Knowledge,https://www.circleofknowledge.com/,Sunset Hills,MO,educational toy store,both,info@circleofknowledge.com,,,,,,verify_email_on_site," | downgraded: guessed_or_unverified_email, needs email verification on official site | GUESSED: inf"
Collectible Corner & Game Store,https://www.collectiblecornermke.com/,Milwaukee,WI,comic / game store,card_games,info@collectiblecornermke.com,,,,,,verify_email_on_site, | GUESSED: info@collectiblecornermke.com not on site | GUESSED: info@collectiblecornermke.com not o
Collector's Paradise,https://www.collectorsparadise.com/,Van Nuys,CA,comic / game store,card_games,info@collectorsparadise.com,,,,,,verify_email_on_site, | GUESSED: info@collectorsparadise.com not on site | GUESSED: info@collectorsparadise.com not on si
Colorado Game Company,https://www.cogameco.com/,Colorado Springs,CO,board game store,card_games,info@cogameco.com,,,,,,verify_email_on_site, | GUESSED: info@cogameco.com not on site | GUESSED: info@cogameco.com not on site | GUESSED: info@c
Comic Book Craze,https://www.comicbookcraze.com/,Dallas,TX,comic / game store,card_games,info@comicbookcraze.com,,,,,,verify_email_on_site, | GUESSED: info@comicbookcraze.com not on site | GUESSED: info@comicbookcraze.com not on site | GUE
Comic Quest,https://www.comicquest.com/,Lake Forest,CA,comic / game store,card_games,info@comicquest.com,,,,,,verify_email_on_site, | GUESSED: info@comicquest.com not on site | GUESSED: info@comicquest.com not on site | GUESSED: in
Comics & Gaming Outpost,https://www.comicsgamingoutpost.com/,Gainesville,VA,comic / game store,card_games,info@comicsgamingoutpost.com,,,,,,verify_email_on_site, | GUESSED: info@comicsgamingoutpost.com not on site | GUESSED: info@comicsgamingoutpost.com not on 
Common Interest,https://www.commoninterestdetroit.com/,Detroit,MI,board game store,card_games,info@commoninterestdetroit.com,,,,,,verify_email_on_site, | GUESSED: info@commoninterestdetroit.com not on site | GUESSED: info@commoninterestdetroit.com not
CoolStuff Games,https://www.coolstuffinc.com/,Maitland,FL,board game store,card_games,info@coolstuffinc.com,,,,,,verify_email_on_site, | GUESSED: info@coolstuffinc.com not on site | GUESSED: info@coolstuffinc.com not on site | GUESSED
Criminal Records,https://www.criminalrecordsatl.com/,Atlanta,GA,comic / game store,card_games,info@criminalrecordsatl.com,,,,,,verify_email_on_site, | GUESSED: info@criminalrecordsatl.com not on site | GUESSED: info@criminalrecordsatl.com not on si
Crimson Dragon Games,https://www.crimsondragongames.com/,Plano,TX,board game store,card_games,info@crimsondragongames.com,,,,,,verify_email_on_site, | GUESSED: info@crimsondragongames.com not on site | GUESSED: info@crimsondragongames.com not on si
Critical Hit Games,https://www.criticalhitaz.com/,Mesa,AZ,board game store,card_games,info@criticalhitaz.com,,,,,,verify_email_on_site, | GUESSED: info@criticalhitaz.com not on site | GUESSED: info@criticalhitaz.com not on site | GUESS
D & J Hobby & Toy,https://www.djhobbytoys.com/,San Jose,CA,toy store / hobby shop,both,info@djhobbytoys.com,,,,,,verify_email_on_site,50+ years in business. Email from website. Physical location in San Jose. | GUESSED: info@djhobbytoy
D4 Seasons,https://www.d4seasons.com/,New Orleans,LA,board game store,card_games,info@d4seasons.com,,,,,,verify_email_on_site, | GUESSED: info@d4seasons.com not on site | GUESSED: info@d4seasons.com not on site
Dallas Games Marathon,https://www.dallasgamesmarathon.com/,Dallas,TX,board game store,card_games,info@dallasgamesmarathon.com,,,,,,verify_email_on_site," | downgraded: guessed_or_unverified_email, needs email verification on official site | GUESSED: inf"
Dice Cafe,https://www.dicecafestl.com/,St. Louis,MO,board game store / cafe,card_games,info@dicecafestl.com,,,,,,verify_email_on_site, | GUESSED: info@dicecafestl.com not on site
Dice City Games,https://www.dicecitygames.com/,Vancouver,WA,board game store,card_games,info@dicecitygames.com,,,,,,verify_email_on_site, | GUESSED: info@dicecitygames.com not on site
Disney Springs Gift Shop,https://www.disneysprings.com/,Orlando,FL,gift shop / tourist retail,both,,,,,,,verify_email_on_site,Disney vendor process required. Contact form only for general inquiries. | GUESSED:  not on site
Diversions Puzzles & Games,https://www.diversionspuzzles.com/,Providence,RI,puzzle / game store,both,info@diversionspuzzles.com,,,,,,verify_email_on_site,"Batch4e: Providence puzzle and game store. Jigsaw puzzles, board games. | downgraded: guessed_or_unv"
Doc's Comics & Games,https://www.docscomics.com/,Fort Worth,TX,comic / game store,card_games,info@docscomics.com,,,,,,verify_email_on_site, | GUESSED: info@docscomics.com not on site
Doodlets,https://doodlets.monkey-factory.com/,Santa Fe,NM,gift shop,both,,https://doodlets.monkey-factory.com/contact_doodlets,https://doodlets.monkey-factory.com/contact_doodlets,,,,verify_email_on_site,"505-983-3771 | 120 Don Gaspar Ave, Santa Fe NM 87501. Contact form page found. | GUESSED:  not on si"
Dr. No's Comics & Games,https://www.drnoscomics.com/,Marietta,GA,comic / game store,card_games,info@drnoscomics.com,,,,,,verify_email_on_site, | GUESSED: info@drnoscomics.com not on site
Dragon's Keep Games,https://www.dragonskeepgames.com/,Provo,UT,board game store,card_games,info@dragonskeepgames.com,,,,,,verify_email_on_site, | GUESSED: info@dragonskeepgames.com not on site
Eastern National / America's National Parks,https://www.eparks.com/,Multiple,Various,national park gift shop,both,customerservice@eparks.com,,,,,,verify_email_on_site,Major park gift shop operator. Vendor application portal available online. | GUESSED: customerservic
Eastside Gamers,https://www.eastsidegamers.com/,Nashville,TN,board game store,card_games,info@eastsidegamers.com,,,,,,verify_email_on_site, | GUESSED: info@eastsidegamers.com not on site
Element Toys,https://www.elementtoys.com/,Brooklyn,NY,independent toy store,both,info@elementtoys.com,,,,,,verify_email_on_site, | GUESSED: info@elementtoys.com not on site
Emerald Knights,https://www.emeraldknights.com/,Burbank,CA,comic / game store,card_games,info@emeraldknights.com,,,,,,verify_email_on_site, | GUESSED: info@emeraldknights.com not on site
Enchanted Forest Toy Shoppe,https://www.enchantedforesttoyshoppe.com/,Telluride,CO,independent toy store,both,info@enchantedforesttoyshoppe.com,,,,,,verify_email_on_site, | GUESSED: info@enchantedforesttoyshoppe.com not on site
Eternal Games,https://www.eternalgames.com/,Warren,MI,board game store,card_games,info@eternalgames.com,,,,,,verify_email_on_site, | GUESSED: info@eternalgames.com not on site
Eugene Toy and Hobby,https://www.eugenetoyandhobby.com/,Eugene,OR,toy store / hobby shop,both,,https://www.eugenetoyandhobby.com/pages/have-questions-get-in-touch,https://www.eugenetoyandhobby.com/pages/have-questions-get-in-touch,,,,verify_email_on_site,"No email on main page. Contact page available. Physical store at 32 E 11th Ave, Eugene OR. Historic "
Eureka! Puzzle Shop,https://www.eurekapuzzleshop.com/,Burlington,VT,puzzle store,both,info@eurekapuzzleshop.com,,,,,,verify_email_on_site,"Batch4e: Burlington VT puzzle store. Specialty puzzles, gifts. | GUESSED: info@eurekapuzzleshop.com "
Event Horizon Games,https://www.eventhz.com/,Raleigh,NC,board game store,card_games,info@eventhz.com,,,,,,verify_email_on_site, | GUESSED: info@eventhz.com not on site
Evolution Games,https://www.evolutiongamesmi.com/,Lansing,MI,board game store,card_games,info@evolutiongamesmi.com,,,,,,verify_email_on_site, | GUESSED: info@evolutiongamesmi.com not on site
Fantasy Shop,https://www.fantasyshoponline.com/,St. Louis,MO,comic / game store,card_games,info@fantasyshoponline.com,,,,,,verify_email_on_site, | GUESSED: info@fantasyshoponline.com not on site
Finnegan's Toys & Gifts,https://www.finnegans toys.com/,Portland,OR,independent toy store,both,info@finneganstoys.com,,,,,,verify_email_on_site, | downgraded_from_A: guessed_email_or_unverified_email. Action: find_official_email_or_contact_form
First Aid Comics,https://www.firstaidcomics.com/,Chicago,IL,comic / game store,card_games,info@firstaidcomics.com,,,,,,verify_email_on_site, | GUESSED: info@firstaidcomics.com not on site
Forbidden Planet NYC,https://www.forbiddenplanetnyc.com/,New York,NY,comic / game store,card_games,info@forbiddenplanetnyc.com,,,,,,verify_email_on_site, | GUESSED: info@forbiddenplanetnyc.com not on site
Fun4All Gaming Lounge,https://www.fun4allgr.com/,Grand Rapids,MI,board game store / lounge,card_games,info@fun4allgr.com,,,,,,verify_email_on_site, | GUESSED: info@fun4allgr.com not on site
Funagain Games,https://www.funagain.com/,Ashland,OR,board game store,card_games,info@funagain.com,,,,,,verify_email_on_site,Batch4d: Ashland board game retailer. Catalog sales nationwide. | downgraded: guessed_or_unverified_
G-Mart Comics,https://www.gmartcomics.com/,Chicago,IL,comic / game store,card_games,info@gmartcomics.com,,,,,,verify_email_on_site, | GUESSED: info@gmartcomics.com not on site
Game Cafe,https://www.gamecafepaloalto.com/,Palo Alto,CA,board game store,card_games,info@gamecafepaloalto.com,,,,,,verify_email_on_site, | GUESSED: info@gamecafepaloalto.com not on site
Game Depot,https://www.gamedepotaz.com/,Tempe,AZ,board game store,card_games,info@gamedepotaz.com,,,,,,verify_email_on_site, | GUESSED: info@gamedepotaz.com not on site
Game Forge,https://www.gameforgelv.com/,Las Vegas,NV,board game store,card_games,info@gameforgelv.com,,,,,,verify_email_on_site, | GUESSED: info@gameforgelv.com not on site
Game Galaxy,https://www.gamegalaxysa.com/,San Antonio,TX,board game store,card_games,info@gamegalaxysa.com,,,,,,verify_email_on_site,"Batch4d: San Antonio board game store. Card games, TCGs, puzzles. | GUESSED: info@gamegalaxysa.com n"
Game Grid,https://www.gamegridutah.com/,Salt Lake City,UT,board game store,card_games,info@gamegridutah.com,,,,,,verify_email_on_site, | GUESSED: info@gamegridutah.com not on site
Game Haus,https://www.gamehausglendale.com/,Glendale,CA,board game store,card_games,info@gamehausglendale.com,,,,,,verify_email_on_site,Physical retail store in Glendale (LA area).
Game Haven,https://www.gamehavenutah.com/,Salt Lake City,UT,board game store,card_games,info@gamehavenutah.com,,,,,,verify_email_on_site, | GUESSED: info@gamehavenutah.com not on site
Game Lair,https://www.gamelairnashville.com/,Nashville,TN,board game store,card_games,info@gamelairnashville.com,,,,,,verify_email_on_site,
Game Masters,https://www.gamemasterspgh.com/,Pittsburgh,PA,board game store,card_games,info@gamemasterspgh.com,,,,,,verify_email_on_site," | downgraded: guessed_or_unverified_email, needs email verification on official site"
Game Parlour,https://www.gameparloursf.com/,San Francisco,CA,board game store,card_games,hello@gameparloursf.com,,,,,,verify_email_on_site, | GUESSED: hello@gameparloursf.com not on site
Game Universe,https://www.gameuniverse.com/,Milwaukee,WI,board game store,card_games,info@gameuniverse.com,,,,,,verify_email_on_site,
Gameday,https://www.gamedaymiami.com/,Miami,FL,board game store,card_games,info@gamedaymiami.com,,,,,,verify_email_on_site,
Gameology & More,https://www.gameologysd.com/,San Diego,CA,board game store,card_games,info@gameologysd.com,,,,,,verify_email_on_site,
Gameology Pasadena,https://www.gameologypasadena.com/,Pasadena,CA,board game store,card_games,info@gameologypasadena.com,,,,,,verify_email_on_site,
Gamers Geek and Tavern,https://www.gamersgeekandtavern.com/,Raleigh,NC,board game store / tavern,card_games,info@gamersgeekandtavern.com,,,,,,verify_email_on_site,Game tavern format. Retail component unclear.
Gamers HQ,https://www.gamershq.com/,Kalamazoo,MI,board game store,card_games,info@gamershq.com,,,,,,verify_email_on_site, | GUESSED: info@gamershq.com not on site
Games & Gizmos,https://www.gamesngizmos.com/,Redmond,WA,board game store,card_games,info@gamesngizmos.com,,,,,,verify_email_on_site,"Batch4d: Redmond board game store at Redmond Town Center. | downgraded: guessed_or_unverified_email,"
Games Plus,https://www.games-plus.com/,Mt Prospect,IL,board game store,card_games,info@games-plus.com,,,,,,verify_email_on_site, | GUESSED: info@games-plus.com not on site
Gamestoria,https://www.gamestorianyc.com/,New York,NY,board game store,card_games,info@gamestorianyc.com,,,,,,verify_email_on_site,
Gamezone,https://www.gamezonesd.com/,San Diego,CA,board game store,card_games,info@gamezonesd.com,,,,,,verify_email_on_site,
Geekery HQ,https://www.geekeryhq.com/,Brooklyn,NY,board game store,card_games,,,,,,,verify_email_on_site,"Email not found on website. Contact form available. Physical store in Williamsburg, Brooklyn. | GUES"
Generation X Comics,https://www.genxcomics.com/,Bedford,TX,comic / game store,card_games,info@genxcomics.com,,,,,,verify_email_on_site,Email from website. Physical store in Bedford (DFW). Comics + games.
Geppettos Toys,https://geppettostoys.com/,San Diego,CA,independent toy store chain,both,,https://geppettostoys.com/pages/contact,https://geppettostoys.com/pages/contact,,,,verify_email_on_site,"9 locations in San Diego. No email on website, contact form only. Strong product match. | GUESSED:  "
Giga-Bites Cafe,https://www.gigabitescafe.com/,Marietta,GA,board game store / cafe,card_games,info@gigabitescafe.com,,,,,,verify_email_on_site, | GUESSED: info@gigabitescafe.com not on site
Go Toys & Games,https://www.gotoysgames.com/,Manchester,VT,independent toy store,both,info@gotoysgames.com,,,,,,verify_email_on_site,"Batch4e: Vermont independent toy store. Puzzles, games, family."
Gold Rush Games,https://www.goldrushgames.com/,Farmington Hills,MI,board game store,card_games,info@goldrushgames.com,,,,,,verify_email_on_site,
Graham Crackers Comics,https://www.grahamcrackers.com/,Naperville,IL,comic / game store,card_games,info@grahamcrackers.com,,,,,,verify_email_on_site, | GUESSED: info@grahamcrackers.com not on site
Grand Lantern Games,https://www.grandlanterngames.com/,Grand Rapids,MI,board game store,card_games,info@grandlanterngames.com,,,,,,verify_email_on_site,
Great Escape Adventures,https://greatescapeadventures.net/,Ithaca,NY,board game / hobby store,card_games,SALES@GreatEscapeAdventures.net,,,,,,verify_email_on_site,4 locations in NY. Email: SALES@GreatEscapeAdventures.net | GUESSED: SALES@GreatEscapeAdventures.net
Guardian Games,https://store.ggportland.com/,Portland,OR,board game store,card_games,,,,,,,verify_email_on_site,No email or contact form found. Has Instagram/Facebook. Needs manual verification. | GUESSED:  not o
Heavy Dice Games,https://www.heavydicegames.com/,Provo,UT,board game store,card_games,info@heavydicegames.com,,,,,,verify_email_on_site,
Henry Bear's Park,https://www.henrybearspark.com/,Cambridge,MA,independent toy store,both,,,,,,,verify_email_on_site,Toy store chain. No public email found. Contact form available. | GUESSED:  not on site
Heroes Collectables,https://www.heroescollectables.com/,Houston,TX,comic / game store,card_games,info@heroescollectables.com,,,,,,verify_email_on_site, | GUESSED: info@heroescollectables.com not on site
Hex & Co,https://www.hexnyc.com/,New York,NY,board game cafe,card_games,,,,,,,verify_email_on_site,"Multiple NYC locations. No public email, contact form only. | GUESSED:  not on site"
HiDeHo Comics & Games,https://www.hidehocomics.com/,Santa Monica,CA,comic / game store,card_games,info@hidehocomics.com,,,,,,verify_email_on_site, | GUESSED: info@hidehocomics.com not on site
Hobby Bunker Games,https://www.hobbybunker.com/,Malden,MA,board game / hobby store,card_games,info@hobbybunker.com,,,,,,verify_email_on_site," | downgraded: guessed_or_unverified_email, needs email verification on official site"
Hobby Hobbies,https://www.blickhobbies.com/,Salt Lake City,UT,toy / hobby store,both,info@blickhobbies.com,,,,,,verify_email_on_site,
Hobbytown USA,https://www.hobbytown.com/,Atlanta,GA,toy / hobby store,both,,,,,,,verify_email_on_site,National franchise. Separate corporate vendor program. | GUESSED:  not on site
Hub Hobby & Toy,https://www.hubhobby.com/,Richfield,MN,toy store / hobby shop,both,,https://www.hubhobby.com/pages/contact-us,https://www.hubhobby.com/pages/contact-us,,,,verify_email_on_site,Good Toy Group member. No email on website. Contact form available.
Humble Hobby,https://www.humblehobby.com/,Denver,CO,toy / hobby store,both,info@humblehobby.com,,,,,,verify_email_on_site,"Batch4d: Denver hobby store. Games, puzzles, models, LEGO."
I'm Board! Games & Family Fun,https://imboardgames.com/,Madison,WI,board game store,both,info@imboardgames.com,https://imboardgames.com/?page_id=7120,https://imboardgames.com/?page_id=7120,,,,verify_email_on_site,"6917 University Ave, Middleton WI | (608) 831-6631 | Email: info@imboardgames.com"
Imperial Outpost Games,https://www.imperialoutpostgames.com/,Phoenix,AZ,board game store,card_games,info@imperialoutpostgames.com,,,,,,verify_email_on_site,
Itsy Bitsy,https://www.itsybitsysf.com/,San Francisco,CA,independent toy store,both,info@itsybitsysf.com,,,,,,verify_email_on_site,
JP Comics & Games,https://www.jpcomics.com/,Jamaica Plain,MA,comic / game store,card_games,info@jpcomics.com,,,,,,verify_email_on_site, | GUESSED: info@jpcomics.com not on site
JP Puzzles,https://www.jppuzzles.com/,Jamaica Plain,MA,puzzle store,puzzles,info@jppuzzles.com,,,,,,verify_email_on_site," | downgraded: guessed_or_unverified_email, needs email verification on official site"
Joystick Gamebar,https://www.joystickgamebar.com/,Atlanta,GA,board game store / bar,card_games,info@joystickgamebar.com,,,,,,verify_email_on_site, | GUESSED: info@joystickgamebar.com not on site
Kidding Around,https://www.kiddingaroundtoys.com/,New York,NY,independent toy store,both,info@kiddingaroundtoys.com,,,,,,verify_email_on_site, | GUESSED: info@kiddingaroundtoys.com not on site
Kidstructive Fun,https://www.kidstructivefuntoys.com/,Burlington,VT,toy store,both,,https://www.kidstructivefuntoys.com/contact,https://www.kidstructivefuntoys.com/contact,,,,verify_email_on_site,1-802-495-5916 | Contact form available.
Labyrinth Game Shop,https://www.labyrinthgameshop.com/,Washington,DC,board game store,card_games,info@labyrinthgameshop.com,,,,,,verify_email_on_site, | GUESSED: info@labyrinthgameshop.com not on site
Lake Geneva Games,https://www.lakegenevagames.com/,Lake Geneva,WI,board game store,card_games,info@lakegenevagames.com,,,,,,verify_email_on_site," | downgraded: guessed_or_unverified_email, needs email verification on official site"
Lakeshore Learning Store,https://www.lakeshorelearning.com/,Rockville,MD,educational toy store,both,service@lakeshorelearning.com,,,,,,verify_email_on_site,National chain. Email available. Verify local store wholesale policy. | downgraded: guessed_or_unver
Learning Tree Toys,https://learningtreetoys.com/,Prairie Village,KS,independent toy store,both,info@learningtreetoys.com,,,,,,verify_email_on_site," | downgraded: guessed_or_unverified_email, needs email verification on official site"
Levels Up Games,https://www.levelsuggames.com/,Roseville,MN,board game store,card_games,info@levelsuggames.com,,,,,,verify_email_on_site,
Little Apple Toys,https://www.littleappletoys.com/,Austin,TX,independent toy store,both,info@littleappletoys.com,,,,,,verify_email_on_site,
Little Shop of Stories,https://www.littleshopofstories.com/,Decatur,GA,bookstore / gift shop,both,info@littleshopofstories.com,,,,,,verify_email_on_site," | downgraded: guessed_or_unverified_email, needs email verification on official site"
Little Things Toy Store,https://www.littlethingsbrooklyn.com/,Brooklyn,NY,independent toy store,both,info@littlethingsbrooklyn.com,,,,,,verify_email_on_site,
Lone Star Comics,https://www.lonestarcomics.com/,Arlington,TX,comic / game store,card_games,info@lonestarcomics.com,,,,,,verify_email_on_site,"Multiple DFW locations. Email from website. | downgraded: guessed_or_unverified_email, needs email v"
Mary Arnold Toys,https://maryarnoldtoys.com/,New York,NY,independent toy store,both,,,,,,,verify_email_on_site,Shopify site. Email not found on homepage/contact. Physical store in Manhattan. Games and puzzles ca
Maximum Comics,https://www.maximumcomics.com/,Las Vegas,NV,comic / game store,card_games,info@maximumcomics.com,,,,,,verify_email_on_site, | GUESSED: info@maximumcomics.com not on site
Mega Toys,https://www.megatoysla.com/,Santa Monica,CA,independent toy store,both,info@megatoysla.com,,,,,,verify_email_on_site,
Miami Geek Out!,https://www.miamigeekout.com/,Miami,FL,board game store,card_games,info@miamigeekout.com,,,,,,verify_email_on_site,
Midtown Comics,https://www.midtowncomics.com/,New York,NY,comic / game store,card_games,info@midtowncomics.com,,,,,,verify_email_on_site," | downgraded: guessed_or_unverified_email, needs email verification on official site"
MoMA Design Store,https://www.momastore.org/,New York,NY,museum gift shop,both,customerservice@momastore.org,,,,,,verify_email_on_site,Museum gift chain. Large org. May require vendor/supplier application. | GUESSED: customerservice@mo
Museum of Science & Industry Gift Shop,https://www.msichicago.org/,Chicago,IL,museum gift shop,both,giftshop@msichicago.org,,,,,,verify_email_on_site,"Museum gift shop. Vendor process likely needed. | downgraded: guessed_or_unverified_email, needs ema"
My Parent's Basement,https://www.myparentsbasement.com/,Avondale Estates,GA,board game store / bar,card_games,info@myparentsbasement.com,,,,,,verify_email_on_site, | GUESSED: info@myparentsbasement.com not on site
Nakama Toys,https://www.nakamatoys.com/,Chicago,IL,Japanese import toy store,card_games,,https://www.nakamatoys.com/pages/contact,https://www.nakamatoys.com/pages/contact,,,,verify_email_on_site,"2504 N California Ave, Chicago IL 60647 | (773) 394-3148"
Nan's Nook Hobby & Toy,https://www.nansnook.com/,Austin,TX,toy store / hobby shop,both,info@nansnook.com,,,,,,verify_email_on_site,
Nerd Street,https://www.nerdstreet.com/,Chicago,IL,board game store,card_games,,,,,,,verify_email_on_site,Contact form only.
Nerdy Needs,https://www.nerdyneeds.com/,Tampa,FL,board game store,card_games,info@nerdyneeds.com,,,,,,verify_email_on_site," | downgraded: guessed_or_unverified_email, needs email verification on official site"
New England Comics,https://www.newenglandcomics.com/,Cambridge,MA,comic / game store,card_games,info@newenglandcomics.com,,,,,,verify_email_on_site," | downgraded: guessed_or_unverified_email, needs email verification on official site"
New York Puzzle Company Store,https://www.nystylepuzzles.com/,New York,NY,puzzle store,puzzles,info@nystylepuzzles.com,,,,,,verify_email_on_site,
Next Level Games,https://www.nextlevelgamesnashville.com/,Nashville,TN,board game store,card_games,staff@nextlevelgamesnashville.com,,,,,,verify_email_on_site, | GUESSED: staff@nextlevelgamesnashville.com not on site
Noble Thought Games,https://www.noblethoughtgames.com/,San Jose,CA,board game store,card_games,info@noblethoughtgames.com,,,,,,verify_email_on_site,
Oasis Games,https://www.oasisgamesutah.com/,Salt Lake City,UT,board game store,card_games,info@oasisgamesutah.com,,,,,,verify_email_on_site,
Oxford Comics & Games,https://www.oxfordcomics.com/,Atlanta,GA,comic / game store,card_games,info@oxfordcomics.com,,,,,,verify_email_on_site, | GUESSED: info@oxfordcomics.com not on site
Painted Yahtzee Gaming,https://www.paintedyahzee.com/,Orlando,FL,board game store,card_games,info@paintedyahzee.com,,,,,,verify_email_on_site,
Paper Ships,https://www.paperships.com/,Los Angeles,CA,toy / gift store,both,hello@paperships.com,,,,,,verify_email_on_site," | downgraded: guessed_or_unverified_email, needs email verification on official site | GUESSED: hel"
Park City Toy Lending Library,https://www.parkcitytoylibrary.com/,Park City,UT,toy store / gift shop,both,info@parkcitytoylibrary.com,,,,,,verify_email_on_site,Small specialty toy store. Verify focus.
Patina - Gifts & Toys,https://www.patinamn.com/,Minneapolis,MN,gift / toy store,both,info@patinamn.com,,,,,,verify_email_on_site,
Peekaboo Toys,https://www.peekabootoyspdx.com/,Portland,OR,independent toy store,both,info@peekabootoyspdx.com,,,,,,verify_email_on_site,Batch4d: Portland independent toy store in Alberta Arts District.
Pegasus Games,https://www.pegasusgames.com/,Madison,WI,board game store,card_games,info@pegasusgames.com,,,,,,verify_email_on_site, | GUESSED: info@pegasusgames.com not on site
Phantom of the Attic,https://www.phantomoftheattic.com/,Pittsburgh,PA,comic / game store,card_games,info@phantomoftheattic.com,,,,,,verify_email_on_site,
Phoenix Comics & Games,https://www.phoenixseattle.com/,Seattle,WA,comic / game store,card_games,info@phoenixseattle.com,,,,,,verify_email_on_site,Email from website. Comics + games focus. | GUESSED: info@phoenixseattle.com not on site
Phoenix Comics & Games,https://www.phoenixcomicsseattle.com/,Seattle,WA,comic / game store,card_games,info@phoenixcomicsseattle.com,,,,,,verify_email_on_site,
